LocationID,Address,City,State
1,73104 Anna Pass Suite 548,Brennanborough,North Dakota
2,265 Heidi Trafficway,New Philipshire,North Dakota
3,0846 Herrera Route Apt. 718,Thomasville,Missouri
4,2814 Kathleen Branch Apt. 462,Lake Christopher,Wisconsin
5,0196 Christina Glens Apt. 430,Shaneville,Oklahoma
6,23820 Davidson Greens,Angelastad,Louisiana
7,56542 Gardner Radial Suite 846,Mooreside,Arkansas
8,049 White Village,Port Jonathan,Missouri
9,911 Patricia Well Apt. 148,New Charles,Colorado
10,82977 Lopez Stravenue,Shellymouth,Rhode Island
